Année,Arachide produit,Arachide Supperficie,Pluie par année
1 996,180 532,274 349,671
1 997,220 534,211 552,697
1 998,152 128,232 663,736
1 999,214 807,215 160,834
2 000,282 754,271 469,689
2 001,169 146,236 880,659
2 002,301 092,330 904,634
2 003,323 642,342 637,775
2 004,358 121,404 110,670
2 005,245 307,352 528,707
2 006,220 525,274 603,684
2 007,215 447,310 597,669
2 008,244 922,415 171,705
2 009,346 292,369 125,714
2 010,330 624,458 222,773
2 011,340 166,409 922,681
2 012,265 322,388 704,743
2 013,310 758,397 762,693
2 014,349 688,448 767,746
2 015,335 222,375 040,680
2 016,365 887,432 665,711
2 017,515 672,591 873,659
2 018,334 328,554 832,757
2 019,329 783,394 031,769
2 020,396 129,485 703,723
2 021,630 526,670 798,749
2 022,477 254,646 303,703
