,Nom,Type,Identificateur WIGOS,Latitude,Longitude,Elevation,Detail url
0,Arbinda,Land (fixed),0-854-0-103|primary,"14,2283","-0,8626",334,https://www.meteoburkina.bf/stations/1
1,Arbole,Land (fixed),0-854-0-104|primary,"12,8449","-2,0334",345,https://www.meteoburkina.bf/stations/2
2,BOBO-DIOULASSO,Land (fixed),0-20000-0-65510|primary,"11,1666666667","-4,3",432,https://www.meteoburkina.bf/stations/3
3,BOBO-DIOULASSO,Land (fixed),0-854-20000-65510|primary,"11,17","-4,3",432,https://www.meteoburkina.bf/stations/4
4,BOGANDE,Land (fixed),0-20000-0-65504|primary,"12,98","-0,13",250,https://www.meteoburkina.bf/stations/5
5,BOGANDE,Land (fixed),0-854-20000-65504|primary,"12,98","-0,16",294,https://www.meteoburkina.bf/stations/6
6,BOROMO,Land (fixed),0-20000-0-65516|primary,"11,7333333333","-2,9166666667",264,https://www.meteoburkina.bf/stations/7
7,BOROMO,Land (fixed),0-854-20000-65516|primary,"11,73","-2,92",270,https://www.meteoburkina.bf/stations/8
8,Bagassi,Land (fixed),0-854-0-105|primary,"11,7481","-3,3044",307,https://www.meteoburkina.bf/stations/9
9,Bagawa,Land (fixed),0-854-0-001|primary,"14,3339","-0,4407",293,https://www.meteoburkina.bf/stations/10
10,Bagré,Land (fixed),0-854-0-002|primary,"11,5069","-0,526",268,https://www.meteoburkina.bf/stations/11
11,Baguéra,Land (fixed),0-854-0-106|primary,"10,549","-5,3986",318,https://www.meteoburkina.bf/stations/12
12,Bam (Tourcoing),Land (fixed),0-854-0-003|primary,"13,33","-1,5",264,https://www.meteoburkina.bf/stations/13
13,Bama,Land (fixed),0-854-0-004|primary,"11,38","-4,39",273,https://www.meteoburkina.bf/stations/14
14,Banfora,Land (fixed),0-854-0-005|primary,"10,636","-4,761",305,https://www.meteoburkina.bf/stations/15
15,Bani,Land (fixed),0-854-0-006|primary,"13,7219","-0,1699",304,https://www.meteoburkina.bf/stations/16
16,Bantogdo,Land (fixed),0-854-0-108|primary,"12,4375","-1,9452",314,https://www.meteoburkina.bf/stations/17
17,Baraboulé,Land (fixed),0-854-0-109|primary,"14,2058","-1,8505",307,https://www.meteoburkina.bf/stations/18
18,Barsalogho,Land (fixed),0-854-0-007|primary,"13,4181","-1,0555",320,https://www.meteoburkina.bf/stations/19
19,Barsalogho,Land (fixed),0-854-0-110|primary,"13,42","-1,07",330,https://www.meteoburkina.bf/stations/20
20,Bartiébougou,Land (fixed),0-854-0-111|primary,"12,8742","0,7899",259,https://www.meteoburkina.bf/stations/21
21,Basnere,Land (fixed),0-854-0-112|primary,"13,2511","-1,2576",343,https://www.meteoburkina.bf/stations/22
22,Batié,Land (fixed),0-854-0-008|primary,"9,88","-2,92",298,https://www.meteoburkina.bf/stations/23
23,Bieha,Land (fixed),0-854-0-115|primary,"11,2543","-1,8189",307,https://www.meteoburkina.bf/stations/24
24,Bilanga,Land (fixed),0-854-0-116|primary,"12,5437","0,0323",281,https://www.meteoburkina.bf/stations/25
25,Bingo,Land (fixed),0-854-0-117|primary,"12,2987","-1,8304",332,https://www.meteoburkina.bf/stations/26
26,Bissiga,Land (fixed),0-854-0-118|primary,"12,8649","0,054",288,https://www.meteoburkina.bf/stations/27
27,Bitou,Land (fixed),0-854-0-012|primary,"11,2592","-0,3035",236,https://www.meteoburkina.bf/stations/28
28,Boala,Land (fixed),0-854-0-119|primary,"12,8706","-0,7034",253,https://www.meteoburkina.bf/stations/29
29,Bomboroky,Land (fixed),0-854-0-120|primary,"12,9959","-3,9487",285,https://www.meteoburkina.bf/stations/30
30,Bondokuy,Land (fixed),0-854-0-121|primary,"11,8684","-3,7503",349,https://www.meteoburkina.bf/stations/31
31,Botou,Land (fixed),0-854-0-122|primary,"12,67","2,05",214,https://www.meteoburkina.bf/stations/32
32,Boulbi,Land (fixed),0-854-0-123|primary,"12,3018","-1,5422",315,https://www.meteoburkina.bf/stations/33
33,Boulsa,Land (fixed),0-854-0-018|primary,"12,65","-0,57",313,https://www.meteoburkina.bf/stations/34
34,Boulsa,Land (fixed),0-854-0-019|primary,"12,6638","-0,568",313,https://www.meteoburkina.bf/stations/35
35,Boura,Land (fixed),0-854-0-020|primary,"11,0396","-2,5021",296,https://www.meteoburkina.bf/stations/36
36,Boura,Land (fixed),0-854-0-124|primary,"11,05","-2,5",281,https://www.meteoburkina.bf/stations/37
37,Bouroum,Land (fixed),0-854-0-125|primary,"13,6186","-0,6467",295,https://www.meteoburkina.bf/stations/38
38,Bourzanga,Land (fixed),0-854-0-126|primary,"13,6863","-1,5515",326,https://www.meteoburkina.bf/stations/39
39,Boussouma,Land (fixed),0-854-0-129|primary,"12,9049","-1,0787",325,https://www.meteoburkina.bf/stations/40
40,Boussé,Land (fixed),0-854-0-021|primary,"12,6671","-1,8951",345,https://www.meteoburkina.bf/stations/41
41,Bousséra,Land (fixed),0-854-0-128|primary,"10,3364","-3,0161",342,https://www.meteoburkina.bf/stations/42
42,Béréba,Land (fixed),0-854-0-113|primary,"11,62","-3,68",309,https://www.meteoburkina.bf/stations/43
43,Bérégadougou,Land (fixed),0-854-0-011|primary,"10,7699","-4,748",333,https://www.meteoburkina.bf/stations/44
44,Bétaré,Land (fixed),0-854-0-114|primary,"11,4333","-1,3667",305,https://www.meteoburkina.bf/stations/45
45,DEDOUGOU,Land (fixed),0-20000-0-65505|primary,"12,4666666667","-3,4833333333",299,https://www.meteoburkina.bf/stations/46
46,DEDOUGOU,Land (fixed),0-854-20000-65505|primary,"12,47","-3,48",299,https://www.meteoburkina.bf/stations/47
47,DORI,Land (fixed),0-20000-0-65501|primary,"14,0333333333","-0,0333333333",276,https://www.meteoburkina.bf/stations/48
48,DORI,Land (fixed),0-854-20000-65501|primary,"14,03","-0,03",276,https://www.meteoburkina.bf/stations/49
49,Dablo,Land (fixed),0-854-0-022|primary,"13,7501","-1,1618",312,https://www.meteoburkina.bf/stations/50
50,Dakiri,Land (fixed),0-854-0-130|primary,"13,28","-0,23",280,https://www.meteoburkina.bf/stations/51
51,Dano,Land (fixed),0-854-0-023|primary,"11,1429","-3,0597",290,https://www.meteoburkina.bf/stations/52
52,Dapélogogo,Land (fixed),0-854-0-131|primary,"12,6711","-1,5401",298,https://www.meteoburkina.bf/stations/53
53,Dargo,Land (fixed),0-854-0-132|primary,"12,7231","-0,2778",290,https://www.meteoburkina.bf/stations/54
54,Diabo,Land (fixed),0-854-0-133|primary,"12,02","0,03",307,https://www.meteoburkina.bf/stations/55
55,Dialgaye,Land (fixed),0-854-0-134|primary,"11,97","-0,38",284,https://www.meteoburkina.bf/stations/56
56,Diapaga,Land (fixed),0-854-0-025|primary,"12,0717","1,7889",275,https://www.meteoburkina.bf/stations/57
57,Didyr,Land (fixed),0-854-0-135|primary,"12,5611","-2,6291",302,https://www.meteoburkina.bf/stations/58
58,Dionkele Ndorola,Land (fixed),0-854-0-027|primary,"11,77","-4,82",342,https://www.meteoburkina.bf/stations/59
59,Dissin,Land (fixed),0-854-0-136|primary,"10,9432","-2,9189",299,https://www.meteoburkina.bf/stations/60
60,Dissourou,Land (fixed),0-854-0-029|primary,"13,1641","-3,4054",255,https://www.meteoburkina.bf/stations/61
61,Diébougou,Land (fixed),0-854-0-026|primary,"10,96","-3,25",286,https://www.meteoburkina.bf/stations/62
62,Djibasso,Land (fixed),0-854-0-137|primary,"13,1205","-4,1554",341,https://www.meteoburkina.bf/stations/63
63,Djibo,Land (fixed),0-854-0-030|primary,"14,0998","-1,6277",294,https://www.meteoburkina.bf/stations/64
64,Dori,Land (fixed),0-854-0-031|primary,"14,0254","-0,0625",321,https://www.meteoburkina.bf/stations/65
65,Doumbala,Land (fixed),0-854-0-138|primary,"12,9183","-4,17",341,https://www.meteoburkina.bf/stations/66
66,FADA N'GOURMA,Land (fixed),0-20000-0-65507|primary,"12,0666666667","0,35",292,https://www.meteoburkina.bf/stations/67
67,FADA N'GOURMA,Land (fixed),0-854-20000-65507|primary,"12,066667","0,35",308,https://www.meteoburkina.bf/stations/68
68,Falagountou,Land (fixed),0-854-0-139|primary,"14,3603","0,1921",256,https://www.meteoburkina.bf/stations/69
69,Fara,Land (fixed),0-854-0-033|primary,"11,52","-2,77",230,https://www.meteoburkina.bf/stations/70
70,Farakoba,Land (fixed),0-854-0-034|primary,"11,0944","-4,3321",415,https://www.meteoburkina.bf/stations/71
71,Foutouri,Land (fixed),0-854-0-036|primary,"12,7329","1,0723",246,https://www.meteoburkina.bf/stations/72
72,GAOUA,Land (fixed),0-20000-0-65522|primary,"10,3333333333","-3,1833333333",333,https://www.meteoburkina.bf/stations/73
73,GAOUA,Land (fixed),0-854-20000-65522|primary,"10,33","-3,18",292,https://www.meteoburkina.bf/stations/74
74,Gao,Land (fixed),0-854-0-140|primary,"11,6571","-2,1797",338,https://www.meteoburkina.bf/stations/75
75,Garango,Land (fixed),0-854-0-141|primary,"11,8","0,5408",295,https://www.meteoburkina.bf/stations/76
76,Gassan,Land (fixed),0-854-0-142|primary,"12,8255","-3,2002",266,https://www.meteoburkina.bf/stations/77
77,Gayéri,Land (fixed),0-854-0-038|primary,"12,65","0,49",282,https://www.meteoburkina.bf/stations/78
78,Giga Kaya,Land (fixed),0-854-0-143|primary,"12,6244","-0,8348",332,https://www.meteoburkina.bf/stations/79
79,Godyr,Land (fixed),0-854-0-144|primary,"12,6969","-2,6295",306,https://www.meteoburkina.bf/stations/80
80,Gomboro,Land (fixed),0-854-0-145|primary,"13,4833","-2,7823",313,https://www.meteoburkina.bf/stations/81
81,Gombousgou,Land (fixed),0-854-0-146|primary,"11,43","-0,77",271,https://www.meteoburkina.bf/stations/82
82,Gorgadji,Land (fixed),0-854-0-147|primary,"14,0328","-0,5187",304,https://www.meteoburkina.bf/stations/83
83,Gori,Land (fixed),0-854-0-148|primary,"12,7413","0,0016",273,https://www.meteoburkina.bf/stations/84
84,Gorom-Gorom,Land (fixed),0-854-0-039|primary,"14,4453","-0,2338",274,https://www.meteoburkina.bf/stations/85
85,Gourcy,Land (fixed),0-854-0-149|primary,"13,2044","-2,3555",322,https://www.meteoburkina.bf/stations/86
86,Guiaro,Land (fixed),0-854-0-150|primary,"11,3558","-1,3708",300,https://www.meteoburkina.bf/stations/87
87,Guibare,Land (fixed),0-854-0-151|primary,"13,0906","-1,6048",302,https://www.meteoburkina.bf/stations/88
88,Guilongou,Land (fixed),0-854-0-040|primary,"12,6142","-1,3022",323,https://www.meteoburkina.bf/stations/89
89,Houndé,Land (fixed),0-854-0-041|primary,"11,4937","-3,5173",349,https://www.meteoburkina.bf/stations/90
90,Imansgho,Land (fixed),0-854-0-152|primary,"12,44","-2,34",282,https://www.meteoburkina.bf/stations/91
91,Iolonoro,Land (fixed),0-854-0-153|primary,"10,7573","-3,4006",314,https://www.meteoburkina.bf/stations/92
92,Ipelce,Land (fixed),0-854-0-154|primary,"11,9572","-1,5469",335,https://www.meteoburkina.bf/stations/93
93,Kamboincé,Land (fixed),0-854-0-042|primary,"12,46","-1,55",300,https://www.meteoburkina.bf/stations/94
94,Kampti,Land (fixed),0-854-0-155|primary,"10,1436","-3,4557",344,https://www.meteoburkina.bf/stations/95
95,Kantchari,Land (fixed),0-854-0-156|primary,"12,48","1,53",267,https://www.meteoburkina.bf/stations/96
96,Karagasso -Vigué,Land (fixed),0-854-0-159|primary,"10,8748","-3,941",347,https://www.meteoburkina.bf/stations/97
97,Karangasso Sambla,Land (fixed),0-854-0-160|primary,"11,2257","-4,6514",359,https://www.meteoburkina.bf/stations/98
98,Kari,Land (fixed),0-854-0-161|primary,"12,2964","-3,5562",274,https://www.meteoburkina.bf/stations/99
99,Kassou,Land (fixed),0-854-0-044|primary,"11,5811","-2,0469",333,https://www.meteoburkina.bf/stations/100
100,Kassoum,Land (fixed),0-854-0-163|primary,"13,0743","-3,3032",274,https://www.meteoburkina.bf/stations/101
101,Kaya,Land (fixed),0-854-0-045|primary,"13,0967","-1,0875",313,https://www.meteoburkina.bf/stations/102
